Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
4.52074,4.60191,4.83565,5.26288,5.97196,7.15305,9.26748,13.7496,28.2931,107.254,34.5593,18.2416,12.6522,9.91526,8.36072,7.42253,6.86108,6.56402,6.48035,0.178128,0.0140784,6181.52,210.803,-0.0296312,3716.64,15309.8,0.0,0.0,0.0,0.0,6
4.63544,4.7181,4.95711,5.39427,6.11994,7.32848,9.49114,14.0711,28.8896,99.2513,34.069,17.9508,12.4424,9.74739,8.21725,7.29388,6.7412,6.44851,6.36554,0.157268,0.013397,6145.42,209.574,-0.0807102,3724.81,15318.0,0.0,0.0,0.0,0.0,6
4.76032,4.8446,5.08934,5.53733,6.28106,7.5195,9.73466,14.4212,29.5401,90.1251,33.5246,17.6313,12.2126,9.56392,8.06062,7.15356,6.61053,6.32268,6.24056,0.134557,0.0126928,6104.79,208.19,-0.0848767,3734.1,15327.3,0.0,0.0,0.0,0.0,6
4.87782,4.96358,5.21366,5.67174,6.43235,7.6987,9.96282,14.7483,30.1426,81.04,33.0129,17.3307,11.9965,9.39127,7.91325,7.02152,6.48758,6.20429,6.12297,0.113187,0.0120052,6065.39,206.822,-0.0772322,3743.32,15336.5,0.0,0.0,0.0,0.0,6
4.98813,5.07523,5.33026,5.79776,6.5741,7.86648,10.1762,15.0534,30.7003,71.9957,32.5323,17.0483,11.7935,9.22916,7.77487,6.89756,6.37215,6.09315,6.01258,0.0931264,0.0113424,6025.38,205.462,-0.063263,3752.48,15345.7,0.0,0.0,0.0,0.0,6
5.09017,5.17856,5.43824,5.91453,6.70556,8.02224,10.3746,15.3382,31.2274,63.0099,32.071,16.7826,11.6037,9.07812,7.64622,6.7825,6.26515,5.99024,5.91047,0.074569,0.0108092,5700.51,200.0,-0.0255576,3761.55,15354.7,0.0,0.0,0.6000000238418579,0.0,6
5.18205,5.27242,5.53722,6.0227,6.82893,8.17101,10.5693,15.6328,74.1208,54.3933,30.4543,16.5042,11.4156,8.93285,7.52491,6.67557,6.1669,5.89674,5.81864,0.0578675,0.0112103,5258.91,185.714,0.113994,3770.11,15363.3,0.0,0.0,0.6000000238418579,0.0,6
5.26607,5.35844,5.62816,6.12237,6.943,8.30921,10.7515,15.912,64.3071,46.3992,27.5655,16.2414,11.24,8.79808,7.41284,6.57712,6.07668,5.81109,5.7347,0.0425998,0.0117801,4848.68,171.865,0.205789,3778.05,15371.2,0.0,0.0,0.6000000238418579,0.0,6
5.34316,5.43662,5.71,6.21103,7.04303,8.4281,10.9249,17.1244,55.1824,39.1189,24.2449,15.5094,11.0755,8.6825,7.31478,6.48967,5.99554,5.73321,5.65757,0.0285807,0.0115112,4426.49,158.158,0.183752,3785.38,15378.6,0.0,0.0,0.0,0.0,6
5.41214,5.5062,5.78555,6.3106,7.20589,8.7672,11.8852,24.5325,46.579,32.3852,20.7256,14.0264,10.4442,8.40462,7.16764,6.39493,5.92137,5.66385,5.58852,0.0160339,0.0108951,4440.62,151.361,0.108537,3792.19,15385.4,0.0,0.0,0.0,0.30000001192092896,6
5.48652,5.55322,5.81127,6.31133,7.17125,8.67075,11.6543,59.1439,44.4089,31.6837,20.9245,14.2552,10.5802,8.47297,7.19255,6.3906,5.89478,5.61748,5.51618,0.00270913,-0.0220835,4401.33,150.072,-4.55869,3798.89,15392.1,0.0,0.0,0.0,0.0,6
5.58018,5.67088,5.96236,6.51409,7.4654,9.16066,12.7885,53.5597,39.244,27.8572,18.8964,13.2343,10.0066,8.10904,6.93949,6.2025,5.74806,5.49966,5.41983,-0.0145777,-0.00133866,4374.21,149.114,-3.56074,3805.54,15398.7,0.0,0.0,0.6000000238418579,0.30000001192092896,6
5.79095,5.90638,6.23815,6.85728,7.93501,9.92383,14.8598,48.9665,34.7955,24.3901,16.9156,12.1292,9.31526,7.62421,6.56977,5.90133,5.49097,5.27149,5.21049,-0.0527538,0.0160664,3870.33,141.157,-4.90387,3812.04,15405.2,0.0,0.0,0.6000000238418579,0.0,6
6.25404,6.41767,6.83148,7.59253,8.94853,11.6797,100.884,44.128,30.0612,20.508,14.3003,10.4501,8.15162,6.74965,5.86564,5.30539,4.96501,4.79047,4.7573,-0.135843,0.0447343,3825.91,130.484,-6.60858,3817.96,15411.1,0.0,0.0,0.6000000238418579,0.0,6
7.02524,7.37328,8.07344,9.34984,11.9191,21.2725,103.607,33.4048,21.4934,14.2814,10.1042,7.66546,6.1998,5.28756,4.70686,4.3444,4.13982,4.06251,4.10166,-0.261637,0.146222,3232.38,118.661,-2.21768,3823.37,15416.6,0.0,0.0,0.6000000238418579,0.0,5
4.95224,5.14499,5.51216,6.11272,7.05993,8.57163,11.0835,15.4362,22.8321,66.2535,43.8671,17.8141,10.9146,8.55432,7.32004,6.61819,6.23968,6.09879,6.16698,0.108324,0.14464,2817.45,38.9357,-0.00177626,3927.45,15520.6,0.0,0.0,0.0,0.0,2
5.16261,5.33783,5.68817,6.26803,7.18126,8.62713,10.9931,15.0201,21.8057,64.5468,43.0017,20.4188,11.0317,8.48779,7.19015,6.4541,6.04927,5.88076,5.91496,0.0672885,0.11721,2799.33,38.6844,-0.00150284,3929.15,15522.3,0.0,0.0,0.0,0.0,2
5.30865,5.46624,5.79823,6.35473,7.23253,8.61401,10.8504,14.6055,20.8946,63.0616,42.2234,23.0685,11.2599,8.49933,7.13008,6.35716,5.92611,5.73347,5.73969,0.03862,0.0928753,2783.75,38.4681,-0.00134712,3930.63,15523.8,0.0,0.0,0.0,0.0,2
5.44448,5.5762,5.88046,6.40209,7.22754,8.51957,10.5873,14.0097,19.7146,61.1651,41.2014,24.298,11.7785,8.62382,7.13287,6.30038,5.83039,5.60456,5.57635,0.0117888,0.0611728,2764.09,38.1951,-0.00118538,3932.54,15525.7,0.0,1.0,0.0,0.0,2
5.51186,5.62152,5.90151,6.39173,7.17151,8.38935,10.323,13.4935,18.8142,59.6484,40.359,24.7469,12.4358,8.82263,7.20388,6.31152,5.8045,5.55044,5.49511,-0.00158067,0.0354379,3016.93,40.3388,-1.93604E-4,3934.06,15527.2,0.0,1.0,0.0,0.0,2
5.54564,5.62281,5.86584,6.30901,7.02139,8.13169,9.88154,12.7191,17.6395,57.5434,39.1609,24.9877,13.9387,9.27826,7.4172,6.41705,5.84752,5.54843,5.45436,-0.00829801,-6.74423E-4,3293.86,43.8771,-5.52144E-5,3936.16,15529.3,0.0,1.0,0.0,0.0,2
5.51149,5.55644,5.76228,6.15701,6.80058,7.80567,9.3801,11.9132,16.608,55.5185,37.9801,24.9489,15.5562,9.97131,7.76849,6.62807,5.98066,5.63012,5.49585,-0.00148634,-0.0363471,3553.8,47.2312,5.967E-5,3938.19,15531.4,0.0,1.0,0.0,0.0,2
