Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
9.72959,16.5772,200.0,15.4513,7.20394,-0.236552,-0.0758743,6498.07,218.755,-0.309338,1.0,0.0,0.0,6
9.04628,15.6425,200.0,16.7101,8.02326,-0.145766,-0.0748058,6517.79,219.421,0.0215661,1.0,0.0,0.0,6
8.45348,14.8403,200.0,17.635,8.70072,-0.0579057,-0.0668498,6537.32,220.084,0.0134534,1.0,0.0,0.0,6
7.96984,14.2171,200.0,18.2304,9.21969,0.015858,-0.0540655,6556.72,220.743,0.001945,1.0,0.0,0.0,6
7.59688,13.7864,200.0,18.5647,9.59124,0.074818,-0.0412122,6576.05,221.399,-3.12165E-5,1.0,0.0,0.0,6
7.34816,13.5148,200.0,18.8503,9.81319,0.117876,-0.0283025,6595.29,222.052,-1.50272E-4,1.0,0.0,0.0,6
7.19911,13.2525,200.0,19.1332,9.96045,0.144875,-0.015345,6614.44,222.702,-4.67608E-5,1.0,0.0,-0.30000001192092896,6
7.24528,13.612,200.0,18.5529,9.86838,0.153016,-2.22612E-4,6628.35,222.935,0.537547,1.0,0.0,0.0,6
8.59252,18.9948,70.4481,14.3819,8.58497,0.102529,0.0861829,6648.22,223.214,7.32238,1.0,0.0,0.0,6
9.28849,20.2553,70.1802,13.5006,8.00265,0.0215018,0.0801405,6651.37,223.91,1.65945,1.0,0.0,0.0,6
10.1285,21.9247,66.5317,12.3552,7.29486,-0.0720146,0.0767895,6670.69,224.572,0.136258,1.0,0.0,0.0,6
11.0145,23.812,60.1989,11.1083,6.55413,-0.166742,0.0762033,6690.22,225.23,-0.0218237,1.0,0.0,0.30000001192092896,6
11.3939,23.1957,87.7998,10.6135,6.03556,-0.256221,0.0466091,6712.27,225.587,-2.41049,1.0,0.0,0.0,6
10.8855,19.7978,200.0,11.8941,6.10632,-0.305228,-0.0219935,6727.12,225.604,-9.53548,1.0,0.0,0.0,6
10.9141,19.8232,200.0,11.8442,6.07094,-0.310065,-0.0229356,6721.31,226.26,-3.29632,1.0,0.0,0.0,6
10.8377,19.8342,200.0,11.9499,6.17982,-0.293083,-0.0176708,6738.05,226.924,-0.391825,1.0,0.0,0.0,6
10.6788,19.576,200.0,12.258,6.35128,-0.272441,-0.0165247,6756.32,227.572,0.0112433,1.0,0.0,0.0,6
10.5082,19.2661,200.0,12.5992,6.52912,-0.251978,-0.0164258,6776.1,228.212,0.0130324,1.0,0.0,0.0,6
10.3348,18.9476,200.0,12.9475,6.70944,-0.231336,-0.0164426,6796.9,228.849,0.00171551,1.0,0.0,0.0,6
10.1551,18.618,200.0,13.3083,6.89634,-0.209927,-0.0164474,6815.43,229.487,-3.03101E-4,1.0,0.0,0.0,6
9.97676,18.2911,200.0,13.6661,7.08177,-0.188685,-0.0164475,6833.5,230.124,-4.01231E-4,1.0,0.0,0.0,6
9.79977,17.9666,200.0,14.0213,7.26583,-0.167598,-0.0164472,6851.65,230.757,-2.90996E-4,1.0,0.0,0.0,6
9.62408,17.6445,200.0,14.3739,7.44856,-0.146663,-0.0164464,6869.89,231.386,-1.54933E-4,1.0,0.0,0.0,6
9.44975,17.3249,200.0,14.7237,7.62986,-0.125891,-0.0164453,6887.73,232.011,-1.79043E-4,1.0,0.0,0.0,6
9.27248,17.0,200.0,15.0795,7.81422,-0.104769,-0.016445,6905.14,232.63,-2.89155E-4,1.0,0.0,0.0,6
9.0903,16.6659,198.299,15.4451,8.00368,-0.0830636,-0.016445,6922.06,233.242,-2.05742E-4,1.0,0.0,0.0,6
8.90937,16.3234,191.13,15.8179,8.19185,-0.0615059,-0.0164443,6941.68,233.843,-1.10889E-5,1.0,0.0,0.0,6
8.72699,15.9416,183.978,16.2437,8.38155,-0.0400944,-0.0164434,6958.43,234.438,1.90962E-6,1.0,0.0,0.0,6
8.5233,15.5183,176.827,16.7262,8.59479,-0.0183327,-0.0177661,6976.19,235.024,-9.04833E-5,1.0,0.0,0.0,6
